date,JPM,BAC,C,WFC,GS,AAPL,MSFT,GOOG,XOM,CVX,DUK,SO,PG,KO
2007-01-04,0.0024933593207775323,0.006355590626671131,-0.0034443497833370426,0.0016774005178085813,-0.0093604142514342,0.02195329906208691,-0.0016755155525236389,0.032962963437239604,-0.01893374724677772,-0.00976997732357186,0.0020873587133143677,0.0005401115573223561,-0.0076209202443089305,0.00041149407737580036
2007-01-05,-0.00833529297546817,-0.008044196932173382,-0.005281005924787421,-0.005601889025468941,0.001005032205550963,-0.007147254783882039,-0.0057190499716317875,0.008099311002545226,0.007124779825935313,0.0038348354325730464,-0.023207466827098386,-0.015250528771325992,-0.008623981060774572,-0.007019954391446832
2007-01-08,0.003342797356677933,0.003936646038245429,0.005099267938394678,-0.002813210934151717,0.023240211377244937,0.004926168264237303,0.009736594434195308,-0.007437460037077265,-0.008088310136853655,0.012676165862045338,0.001599426056936623,0.0027404068049218925,0.0022022879093958835,0.00640264976019309
2007-01-09,-0.004179918949519372,0.0009352290904927213,-0.008757696341808334,0.002531892199985225,0.0017165287619424498,0.07979996991504837,0.0010016883920909048,0.003962649172159526,-0.007738421590831417,-0.011542894242787656,-0.004806054472876291,0.0027328559376520655,-0.002517401367227532,0.0008231999216270588
2007-01-10,0.007302897079749548,0.0014941047663607472,-0.008095678491545083,-0.003095194374494685,0.019554153929099385,0.04674568038756801,-0.010063876862335277,0.008123414150855655,-0.015375580142371455,-0.017423953232772744,-0.004292406092687243,-0.001912553889095803,0.011901226606503154,0.0014386717363361469
2007-01-11,0.004356287988257338,-0.0059908190751375824,0.0007383380908216687,0.0016895908874707901,0.01795374585255196,-0.012448383176330674,0.03446330372507954,0.020745156218247476,-0.0001408833748454271,-0.010427837648797351,0.0026849427182861828,0.004093781135880883,0.006207420433999723,0.0012322159175608563
2007-01-12,-0.0066453748530075595,0.0022507783869954528,0.0038694895364474744,-0.0008447111480443335,0.009909294825411438,-0.012393752232896507,0.016476087008563078,0.01051048696476883,0.0233928393417699,0.02387953556892438,-0.004837624877681665,-0.012881832113686115,0.005554239838734413,-0.0039059771299500587
2007-01-16,0.008299728446831424,0.0011235984892788075,0.0071462792676894515,0.02007300067938454,-0.0018709297853852244,0.02587271045507272,-0.001603416239488261,-0.0014267180298602148,-0.014277605194022835,-0.009713327381301375,0.0032277365123765545,0.006050450886112165,0.0,-0.0010299715681677398
2007-01-17,0.0008264414550975999,-0.002248141552779475,-0.0069622178614467504,0.0011040525613129713,-0.0016872678135899076,-0.02239107858805897,-0.0019274644774452373,-0.013978357661615889,0.011520993079527371,0.016371694521236557,-0.0016128110288860574,0.006558626912279658,0.01030361648281445,0.002059165753847646
2007-01-18,-0.005797994753620624,-0.0005624798620969731,0.0,-0.0019321351539243268,-0.016788548109644058,-0.06392824932518835,-0.003220690549927591,-0.01918641547902867,-0.006924491838020048,0.0014110791850478336,0.004830162768592413,-0.002180960884850566,0.0027499881275025516,-0.0051573766789821725
2007-01-19,0.0125887133192009,0.005613471275973252,0.002020166740265394,-0.004429521013709871,0.004575506021215739,-0.0064193785917198345,0.003542250773687804,0.003928194116712562,0.02158336510210946,0.019548398304075933,0.0032066284159397275,0.0027252898316829197,0.008356676821363958,-0.0018625777124645971
2007-01-22,0.018289564695092637,0.0011190920657078104,0.003297300998868706,-0.008079407698649475,0.012663599562540137,-0.019511079965542386,-0.012615550392168625,-0.01836044955644327,-0.008604654524223515,-0.015326954470362659,-0.005350406170235235,-0.0024528018783232914,-0.005614330947744961,-0.004778281877843086
2007-01-23,0.003417349931112918,-0.006170083479584287,-0.003480822295925874,0.0072462414011010565,-0.0015510462383684818,-0.012638808684997395,0.0006508804235506446,-0.003729679831402539,0.021575936662695076,0.01863972324375279,0.0016080810108856087,0.0021812272467851062,-0.001217645932639883,0.0018727026211803068
2007-01-24,0.010580050001365554,-0.002252993723519343,0.006220487744208596,0.01515814746043787,0.034481551310539434,0.011601491337892806,0.011321446086858903,0.040941315519762045,0.005489036412977073,0.0038516158137901035,0.0042757784654910294,0.0010885559550959073,-0.001982876327334398,0.00020773502951385058
2007-01-25,-0.0029831172081256963,-0.015152246398703472,-0.01655061569060238,-0.01321627423866154,-0.03246098052474255,-0.005204173914803783,-0.020800174098269383,-0.022246466352034783,-0.018596436808186432,-0.018287867878070404,0.009025596236042554,-0.00027178242894775344,-0.009047043999439761,-0.0039554372839595104
2007-01-26,-0.010208779893658346,-0.006893835368048172,0.013628117159172282,-0.0013865011290319182,0.0020160057675958584,-0.01013792111386902,0.004914085871945596,0.015753555477459016,0.0012234825902440983,-0.00028009856747239975,0.008420992521162834,-0.009844474198082459,-0.0009241997534090394,-0.0022970405901823238
2007-01-29,-0.004638382975524998,-0.01120763604997892,-0.01122041717935597,-0.0022227132489131955,-0.011589072396088348,0.006537435538112186,-0.0022901584059690635,-0.006819871027704478,-0.005585704022021113,0.0004197780549043536,0.005748643709152056,-0.0038541314417516815,0.00030816149923361267,-0.0025124962872358023
2007-01-30,0.014249855495088209,0.012743736001479595,0.0038765841439384937,-0.0013917874230164817,-0.010766577208630649,-0.004548401775723339,-0.0016392476202594381,0.003749513861417858,0.016126377095184437,0.021300852225095864,0.01448623894593508,-0.0008284174598282649,-0.004479760530072203,0.002094519910948885
2007-01-31,0.014835443399754763,0.008787614355445415,0.01572283081587957,0.008386868706669968,0.016059662902328124,0.002101497474846226,0.012390195876015198,0.014420472973028635,-0.003906634230423421,-0.002603737474047194,0.011235678940776638,0.008522809160595297,0.004325640715108326,0.001462583544774432
2007-02-01,0.005482989555117501,0.004932339725526836,0.002561087045868584,-0.0013927871334351426,-0.0007543713747204429,-0.011615200311867486,-0.009769290613858643,-0.04017829367219062,0.013138983925633013,0.02158247829047814,0.008093083555512902,0.0051876861039891935,0.0072188855318627695,0.004584036831010053
2007-02-02,-0.005482989555117586,-0.0018942999509036775,-0.001279806849688787,-0.00027862969348214494,0.0067225232436624515,0.00011794631144573063,-0.012180876674042255,-0.0005189906706594889,0.006108181060429951,-0.0057915362220319665,0.007028380601717776,-0.0008259242981873706,0.0,0.002906431167178311
2007-02-05,0.000588942556548492,0.0026506943511255886,0.0016454501761804883,-0.004752119323091159,-0.004131616742342251,-0.00960318610846037,-0.01939856930774566,-0.030234366682158616,0.0017192716920800025,-0.003517446251571489,0.014895908094783339,0.003025815819748126,-0.0029117739902117428,-0.007072959125970374
2007-02-06,0.0007846564131774963,0.006221585694980309,0.003646035831106709,0.0058667075538335976,0.009831457364364131,0.0024990184810912584,-0.003382849353060067,0.009204766470333747,-0.0027788400610119887,-0.0055727141057341535,-0.011400950562880778,0.004658220952552409,-0.008632752256759276,0.0031266294342984055
2007-02-07,0.0041093905853916415,0.002814735418064117,0.0,-0.0005573172467696133,-0.005137553528306076,0.023488702810474646,-0.004755352558919358,-0.0031226514988532262,-0.004669126189889769,-0.00999909224677377,-0.0034949575319025983,-0.0021893508867206245,-0.0017048647341984806,-0.00041670525155618123
2007-02-08,-0.005482989555117586,-0.000749694055468207,-0.009324408589528673,-0.008958228462161641,0.0016373762462914827,0.00034773034666432006,-0.003752687283982754,0.0021678131301695255,0.00891875659443851,0.01516527260705644,0.00846831707338491,-0.003843089272697073,0.001704864734198445,-0.003545403047044683
2007-02-09,-0.010064964528475698,-0.0062079614749443734,-0.019288609387189296,-0.005640406970243698,-0.002902598821510908,-0.0343494596433161,-0.009615369713440491,-0.01959496069654277,-0.0031854046739952747,-0.005847690413261839,0.0,0.0008246232135113417,-0.0024803828445653063,-0.0020912532981301425
2007-02-12,0.0003976896443253092,0.0009430226741123898,0.0005617295421735388,0.006764392968851327,-0.010131806731190166,0.019150357553288772,-0.0013808552281879094,-0.007824617851059135,-0.008276777256328948,-0.013732582605751989,0.0019820779743011823,-0.0035788631541793124,-0.004198984479450004,0.0033445679488816123
2007-02-13,0.010059880564559188,0.012924847476712608,0.005226745411366939,0.007555601173063205,0.006609008495694422,-0.0021232222216204756,0.005876980277087376,0.0017659225582567573,0.011329811424294766,0.0070266601621708745,0.009362185095221577,0.007145208121630786,0.008535446622154701,0.006033352711724898
2007-02-14,0.009182774454208658,0.005938568733272038,0.008712812523673607,0.00389508594979145,0.022656070827137328,0.007059136806741263,0.013354112477311724,0.014767288332997659,0.0019862835958217996,-0.0016604250277265152,-0.0059649310283401875,0.0005469071341360521,0.0026236812319327934,-0.00686869737039194
